2025-04-04 08:58:56,367 - INFO - 4484, svchost.exe, None
2025-04-04 08:58:56,372 - INFO - 4508, svchost.exe, None
2025-04-04 08:58:56,377 - INFO - 4616, crashpad_handler.exe, None
2025-04-04 08:58:56,381 - INFO - 4624, AppleMobileDeviceService.exe, None
2025-04-04 08:58:56,384 - INFO - 4704, svchost.exe, None
2025-04-04 08:58:56,388 - INFO - 4712, svchost.exe, None
2025-04-04 08:58:56,388 - INFO - 4800, gxxcef.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,393 - INFO - 4812, svchost.exe, None
2025-04-04 08:58:56,393 - INFO - 4944, Code.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,397 - INFO - 5068, OneApp.IGCC.WinService.exe, None
2025-04-04 08:58:56,401 - INFO - 5092, svchost.exe, None
2025-04-04 08:58:56,404 - INFO - 5112, Dell.TechHub.exe, None
2025-04-04 08:58:56,407 - INFO - 5148, Dell.CoreServices.Client.exe, None
2025-04-04 08:58:56,411 - INFO - 5160, SmartByteNetworkService.exe, None
2025-04-04 08:58:56,415 - INFO - 5172, GoodixSessionService.exe, None
2025-04-04 08:58:56,419 - INFO - 5184, OfficeClickToRun.exe, None
2025-04-04 08:58:56,422 - INFO - 5200, IntelAudioService.exe, None
2025-04-04 08:58:56,425 - INFO - 5244, svchost.exe, None
2025-04-04 08:58:56,430 - INFO - 5304, jhi_service.exe, None
2025-04-04 08:58:56,433 - INFO - 5388, MpDefenderCoreService.exe, None
2025-04-04 08:58:56,437 - INFO - 5400, esif_uf.exe, None
2025-04-04 08:58:56,440 - INFO - 5424, svchost.exe, None
2025-04-04 08:58:56,444 - INFO - 5464, svchost.exe, None
2025-04-04 08:58:56,448 - INFO - 5476, RstMwService.exe, None
2025-04-04 08:58:56,451 - INFO - 5512, svchost.exe, None
2025-04-04 08:58:56,455 - INFO - 5608, sqlwriter.exe, None
2025-04-04 08:58:56,459 - INFO - 5616, svchost.exe, None
2025-04-04 08:58:56,463 - INFO - 5788, svchost.exe, None
2025-04-04 08:58:56,467 - INFO - 5832, UltraViewer_Service.exe, None
2025-04-04 08:58:56,469 - INFO - 5840, TeamViewer_Service.exe, None
2025-04-04 08:58:56,472 - INFO - 5864, WavesAudioService.exe, None
2025-04-04 08:58:56,477 - INFO - 5888, svchost.exe, None
2025-04-04 08:58:56,480 - INFO - 5896, MsMpEng.exe, None
2025-04-04 08:58:56,484 - INFO - 5904, SmartByteAnalyticsService.exe, None
2025-04-04 08:58:56,485 - INFO - 6024, Zalo.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,487 - INFO - 6028, TbtP2pShortcutService.exe, None
2025-04-04 08:58:56,492 - INFO - 6036, svchost.exe, None
2025-04-04 08:58:56,495 - INFO - 6056, RtkAudUService64.exe, None
2025-04-04 08:58:56,499 - INFO - 6128, WMIRegistrationService.exe, None
2025-04-04 08:58:56,502 - INFO - 6292, sqlservr.exe, None
2025-04-04 08:58:56,502 - INFO - 6360, wps.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,506 - INFO - 6580, WavesSysSvc64.exe, None
2025-04-04 08:58:56,507 - INFO - 6668, chrome.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,511 - INFO - 6824, svchost.exe, None
2025-04-04 08:58:56,515 - INFO - 6828, dwm.exe, None
2025-04-04 08:58:56,516 - INFO - 6856, Widgets.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,518 - INFO - 6880, svchost.exe, None
2025-04-04 08:58:56,522 - INFO - 7004, DDVRulesProcessor.exe, None
2025-04-04 08:58:56,527 - INFO - 7172, svchost.exe, None
2025-04-04 08:58:56,531 - INFO - 7384, servicehost.exe, None
2025-04-04 08:58:56,534 - INFO - 7556, svchost.exe, None
2025-04-04 08:58:56,537 - INFO - 7704, wlanext.exe, None
2025-04-04 08:58:56,539 - INFO - 7756, svchost.exe, None
2025-04-04 08:58:56,545 - INFO - 7820, RAPSService.exe, None
2025-04-04 08:58:56,545 - INFO - 7940, Zalo.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,545 - INFO - 7960, Copilot.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,548 - INFO - 8196, RAPS.exe, None
2025-04-04 08:58:56,552 - INFO - 8240, conhost.exe, None
2025-04-04 08:58:56,552 - INFO - 8440, Code.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,555 - INFO - 8736, svchost.exe, None
2025-04-04 08:58:56,557 - INFO - 8912, wps.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,557 - INFO - 8952, Code.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,557 - INFO - 9048, figma_agent.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,558 - INFO - 9300, ZaloCap.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,558 - INFO - 9412, RuntimeBroker.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,562 - INFO - 9456, sqlservr.exe, None
2025-04-04 08:58:56,564 - INFO - 9728, PresentationFontCache.exe, None
2025-04-04 08:58:56,565 - INFO - 9752, PhoneExperienceHost.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,569 - INFO - 9912, svchost.exe, None
2025-04-04 08:58:56,572 - INFO - 9980, Dell.TechHub.DataManager.SubAgent.exe, None
2025-04-04 08:58:56,572 - INFO - 10072, msedge.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,576 - INFO - 10088, svchost.exe, None
2025-04-04 08:58:56,580 - INFO - 10096, svchost.exe, None
2025-04-04 08:58:56,583 - INFO - 10164, sqlservr.exe, None
2025-04-04 08:58:56,586 - INFO - 10264, svchost.exe, None
2025-04-04 08:58:56,586 - INFO - 10476, conhost.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,587 - INFO - 10532, WidgetService.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,587 - INFO - 10580, WavesSvc64.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,589 - INFO - 10796, svchost.exe, None
2025-04-04 08:58:56,594 - INFO - 10876, WmiPrvSE.exe, None
2025-04-04 08:58:56,595 - INFO - 11076, bash.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,595 - INFO - 11288, msedge.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,598 - INFO - 11316, svchost.exe, None
2025-04-04 08:58:56,601 - INFO - 11348, svchost.exe, None
2025-04-04 08:58:56,601 - INFO - 11384, wpscenter.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,601 - INFO - 11404, msedgewebview2.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,605 - INFO - 11420, conhost.exe, None
2025-04-04 08:58:56,605 - INFO - 11444, chrome.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,609 - INFO - 11684, Dell.TechHub.Analytics.SubAgent.exe, None
2025-04-04 08:58:56,610 - INFO - 11708, chrome.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,610 - INFO - 11916, wps.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,613 - INFO - 12108, Dell.Update.SubAgent.exe, None
2025-04-04 08:58:56,614 - INFO - 12132, StartMenuExperienceHost.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,618 - INFO - 12176, sqlceip.exe, None
2025-04-04 08:58:56,618 - INFO - 12208, chrome.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,622 - INFO - 12248, svchost.exe, None
2025-04-04 08:58:56,622 - INFO - 12260, svchost.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,622 - INFO - 12264, igfxEMN.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,622 - INFO - 12572, chrome.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,622 - INFO - 12924, python.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,622 - INFO - 12948, msedgewebview2.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,622 - INFO - 12972, msedge.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,627 - INFO - 13076, svchost.exe, None
2025-04-04 08:58:56,630 - INFO - 13376, SearchIndexer.exe, None
2025-04-04 08:58:56,630 - INFO - 13540, svchost.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,630 - INFO - 13688, msedgewebview2.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,630 - INFO - 13740, RuntimeBroker.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,630 - INFO - 13992, Code.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,630 - INFO - 14016, chrome.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,632 - INFO - 14032, mcafee-security.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,632 - INFO - 14492, cmd.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,635 - INFO - 14512, NisSrv.exe, None
2025-04-04 08:58:56,635 - INFO - 14532, conhost.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,635 - INFO - 14728, UserOOBEBroker.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,635 - INFO - 14760, taskhostw.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,639 - INFO - 14768, FileSyncHelper.exe, None
2025-04-04 08:58:56,644 - INFO - 14880, SecurityHealthService.exe, None
2025-04-04 08:58:56,644 - INFO - 15216, chrome.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,644 - INFO - 15512, ZaloCall.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,648 - INFO - 15516, fontdrvhost.exe, None
2025-04-04 08:58:56,651 - INFO - 15744, svchost.exe, None
2025-04-04 08:58:56,654 - INFO - 15876, winlogon.exe, None
2025-04-04 08:58:56,658 - INFO - 15880, Dell.TechHub.Diagnostics.SubAgent.exe, None
2025-04-04 08:58:56,663 - INFO - 15884, conhost.exe, None
2025-04-04 08:58:56,667 - INFO - 15924, sqlservr.exe, None
2025-04-04 08:58:56,670 - INFO - 16016, ServiceShell.exe, None
2025-04-04 08:58:56,675 - INFO - 16068, conhost.exe, None
2025-04-04 08:58:56,675 - INFO - 16132, msedgewebview2.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,675 - INFO - 16148, OneDrive.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,681 - INFO - 16172, Dell.TechHub.Instrumentation.SubAgent.exe, None
2025-04-04 08:58:56,687 - INFO - 16180, conhost.exe, None
2025-04-04 08:58:56,692 - INFO - 16700, svchost.exe, None
2025-04-04 08:58:56,693 - INFO - 16708, bash.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,700 - INFO - 17100, conhost.exe, None
2025-04-04 08:58:56,700 - INFO - 17544, svchost.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,700 - INFO - 17740, Code.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,700 - INFO - 18028, Code.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,701 - INFO - 18124, svchost.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,704 - INFO - 18140, DellSupportAssistRemedationService.exe, None
2025-04-04 08:58:56,705 - INFO - 18296, msedge.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,712 - INFO - 18312, Dell.D3.WinSvc.exe, None
2025-04-04 08:58:56,719 - INFO - 18400, svchost.exe, None
2025-04-04 08:58:56,722 - INFO - 18560, sqlceip.exe, None
2025-04-04 08:58:56,729 - INFO - 18632, sqlceip.exe, None
2025-04-04 08:58:56,730 - INFO - 18664, Zalo.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,735 - INFO - 18720, sqlceip.exe, None
2025-04-04 08:58:56,739 - INFO - 18784, RtkAudUService64.exe, None
2025-04-04 08:58:56,739 - INFO - 18796, dptf_helper.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,746 - INFO - 18868, DDVCollectorSvcApi.exe, None
2025-04-04 08:58:56,749 - INFO - 18880, sqlceip.exe, None
2025-04-04 08:58:56,754 - INFO - 18936, SupportAssistAgent.exe, None
2025-04-04 08:58:56,758 - INFO - 19056, svchost.exe, None
2025-04-04 08:58:56,759 - INFO - 19228, Code.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,763 - INFO - 19240, svchost.exe, None
2025-04-04 08:58:56,765 - INFO - 19284, mcafee-security-ft.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,765 - INFO - 19336, msedgewebview2.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,765 - INFO - 19356, bash.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,769 - INFO - 19388, DDVDataCollector.exe, None
2025-04-04 08:58:56,769 - INFO - 19476, chrome.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,770 - INFO - 19808, SecurityHealthSystray.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,770 - INFO - 19904, svchost.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,770 - INFO - 20024, msedgewebview2.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,770 - INFO - 20312, unsecapp.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,770 - INFO - 20492, svchost.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,775 - INFO - 20912, svchost.exe, None
2025-04-04 08:58:56,776 - INFO - 20940, MultiPlayerCefWing.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,776 - INFO - 21096, ctfmon.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,777 - INFO - 21264, SDXHelper.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,777 - INFO - 21972, Code.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,777 - INFO - 22032, conhost.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,777 - INFO - 22100, sihost.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,777 - INFO - 22412, svchost.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,777 - INFO - 22568, wps.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,784 - INFO - 22644, svchost.exe, None
2025-04-04 08:58:56,784 - INFO - 22896, bash.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,788 - INFO - 23072, csrss.exe, None
2025-04-04 08:58:56,794 - INFO - 23356, WmiApSrv.exe, None
2025-04-04 08:58:56,794 - INFO - 23688, explorer.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,794 - INFO - 23716, CrossDeviceService.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,795 - INFO - 23760, wpspdf.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,795 - INFO - 23780, msedge.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,795 - INFO - 23828, MultiPlayerManager.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,795 - INFO - 23880, SearchHost.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,795 - INFO - 23984, msedge.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,795 - INFO - 23992, chrome.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,796 - INFO - 24168, Code.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,796 - INFO - 24176, Canva.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,796 - INFO - 24372, Zalo.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,796 - INFO - 24484, chrome.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,796 - INFO - 24628, chrome.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,796 - INFO - 24660, promecefpluginhost.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,797 - INFO - 24796, ShellHost.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,797 - INFO - 25204, RuntimeBroker.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,797 - INFO - 25288, RuntimeBroker.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,797 - INFO - 25312, audiodg.exe, None
2025-04-04 08:58:56,797 - INFO - 25440, promecefpluginhost.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,797 - INFO - 25596, svchost.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,797 - INFO - 25680, MultiPlayerCefWing.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,798 - INFO - 25836, TextInputHost.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,798 - INFO - 26220, msedge.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,798 - INFO - 26424, Code.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,798 - INFO - 26716, Zalo.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,798 - INFO - 26752, ShellExperienceHost.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,798 - INFO - 26840, RtkAudUService64.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,799 - INFO - 26936, Zalo.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,799 - INFO - 26980, chrome.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,802 - INFO - 27200, Dell.TechHub.Instrumentation.UserProcess.exe, None
2025-04-04 08:58:56,803 - INFO - 27548, Code.exe, DESKTOP-5NGD5P5\DELL
2025-04-04 08:58:56,803 - INFO - ----- System Monitoring -----
